UNIV_ID,UNIV_NAME,UNIV_NAME2,FACULTY,KEITOU_NM,LATITUDE,LONGITUDE,表示確認状況,
1,総合研究大学院大学 - 学部なし,総合研究大学院大学,学部なし,大学院大学,35.261095,139.608389,済,
2,政策研究大学院大学 - 学部なし,政策研究大学院大学,学部なし,大学院大学,35.663961,139.727284,済,
3,奈良先端科学技術大学院大学 - 学部なし,奈良先端科学技術大学院大学,学部なし,大学院大学,34.732104,135.732839,済,
4,北陸先端科学技術大学院大学 - 学部なし,北陸先端科学技術大学院大学,学部なし,大学院大学,36.444154,136.593097,済,
5,北海道大学 - 文学部,北海道大学,文学部,人文学系,43.077957,141.340013,済,
6,北海道大学 - 教育学部,北海道大学,教育学部,教育学系,43.077957,141.340013,済,
7,北海道大学 - 法学部,北海道大学,法学部,法律・政治系,43.077957,141.340013,済,
8,北海道大学 - 経済学部,北海道大学,経済学部,経済・経営・商学系,43.077957,141.340013,済,
9,北海道大学 - 医学部,北海道大学,医学部,医学系,43.077957,141.340013,済,
10,北海道大学 - 歯学部,北海道大学,歯学部,医学系,43.077957,141.340013,済,
11,北海道大学 - 薬学部,北海道大学,薬学部,医学系,43.077957,141.340013,済,
12,北海道大学 - 理学部,北海道大学,理学部,理工系,43.077957,141.340013,済,
13,北海道大学 - 工学部,北海道大学,工学部,理工系,43.077957,141.340013,済,
14,北海道大学 - 農学部,北海道大学,農学部,農・水産・獣医系,43.077957,141.340013,済,
15,北海道大学 - 水産学部,北海道大学,水産学部,農・水産・獣医系,43.077957,141.340013,済,
16,北海道教育大学 - 教育学部,北海道教育大学,教育学部,教育学系,43.168236,141.396082,済,
17,室蘭工業大学 - 工学部,室蘭工業大学,工学部,理工系,42.377848,141.033478,済,
18,小樽商科大学 - 商学部,小樽商科大学,商学部,経済・経営・商学系,43.190475,140.979663,済,
19,帯広畜産大学 - 畜産学部,帯広畜産大学,畜産学部,農・水産・獣医系,42.875998,143.173171,済,
20,旭川医科大学 - 医学部,旭川医科大学,医学部,医学系,43.729855,142.384141,済,
21,北見工業大学 - 工学部,北見工業大学,工学部,理工系,43.822847,143.905106,済,
22,弘前大学 - 人文学部,弘前大学,人文学部,人文学系,40.589483,140.472484,済,
23,弘前大学 - 教育学部,弘前大学,教育学部,教育学系,40.589483,140.472484,済,
24,弘前大学 - 医学部,弘前大学,医学部,医学系,40.589483,140.472484,済,
25,弘前大学 - 理工学部,弘前大学,理工学部,理工系,40.589483,140.472484,済,
26,弘前大学 - 農学生命科学部,弘前大学,農学生命科学部,農・水産・獣医系,40.589483,140.472484,済,
